F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63
1,1,3,,,,10,11,11,11,2,1,,,,,,,,,,,,,,,,1,,,,,,,,4800,4800,6,436.363636363636,5,5,5,13,,,,,,,,,,,,8,11,4,9,1,50,3,1,2
1,1,3,,,,10,11,11,11,2,1,,,,,,,,,,,,,,,,1,,,,,,,,5000,5000,6,454.545454545455,5,5,4,13,,,,,,,,,,,,62,11,4,15,2,40,3,1,2
1,1,3,,,,10,11,11,11,2,13,,,,,,,,,,,,,,,,,,,,,6,,,0,0,1,0,1,2,5,13,,,,,,,,,,,,11,12,4,12,1,30,3,1,2
1,1,3,,,,12,13,13,11,2,1,,,,,,,,,,,,,,,,1,,,,,,,,1419.9,1419.9,3,109.223076923077,2,4,3,13,,,,,,,,,,,,1,10,4,1,1,30,3,1,2
1,1,3,,,,12,13,13,11,2,2,,,,,,,,,,,,,,,,,2,,,,,,,5387.4,5387.4,6,414.415384615385,5,5,4,13,,,,,,,,,,,,47,12,4,97,1,30,3,1,2
1,1,3,,,,120,121,,13,1,1,2,3,,,,,,,,,,,,,,1,2,3,,,,,,3800,3800,6,,,3,3,13,,,,,,,,,,,,145,12,4,97,1,40,3,1,1
1,1,3,,,,120,121,,13,1,1,2,3,13,,,,,,,,,,,,,1,2,3,,,6,,,12000,,98,,,5,5,1,2,3,4,13,,,,,,,,8,12,4,9,1,30,3,1,1
1,1,3,,,,120,121,,13,1,1,3,13,,,,,,,,,,,,,,1,,3,,,6,,,7979.50154713669,7979.50154713669,6,,,4,5,2,3,13,,,,,,,,,,106,12,4,97,2,30,3,1,1
1,1,3,,,,120,121,,13,1,10,,,,,,,,,,,,,,,,,,,,,6,,,7000,7000,6,,,4,3,2,3,13,,,,,,,,,,8,12,4,9,2,30,3,1,1
1,1,3,,,,13,14,14,11,2,1,,,,,,,,,,,,,,,,1,,,,,,,,1431,1431,3,102.214285714286,2,4,4,1,2,13,,,,,,,,,,2,8,3,2,1,40,3,1,2
1,1,3,,,,14,15,15,11,2,13,,,,,,,,,,,,,,,,,,,,,6,,,2000,2000,4,133.333333333333,2,4,3,13,2,,,,,,,,,,,36,12,4,97,1,30,3,1,2
1,1,3,,,,14,15,15,11,2,15,,,,,,,,,,,,,,,,,,,,,,7,,4400,4400,6,293.333333333333,3,4,4,13,,,,,,,,,,,,8,11,4,9,1,40,3,1,2
1,1,3,,,,14,15,15,11,2,16,,,,,,,,,,,,,,,,,,,,,,7,,4425.86,4425.86,6,295.057333333333,3,4,5,13,,,,,,,,,,,,64,11,4,97,1,50,3,1,2
1,1,3,,,,14,15,15,11,2,2,1,,,,,,,,,,,,,,,1,2,,,,,,,5387.4,5387.4,6,359.16,4,4,4,4,13,,,,,,,,,,,83,12,4,97,2,20,3,1,2
1,1,3,,,,14,15,15,11,2,3,2,13,15,,,,,,,,,,,,,,2,3,,,6,7,,3000,3000,5,200,2,5,4,1,2,13,15,,,,,,,,,8,8,3,9,1,30,3,1,2
1,1,3,,,,14,15,15,11,2,6,,,,,,,,,,,,,,,,,,,,5,,,,3300,3300,6,220,3,3,3,13,,,,,,,,,,,,48,12,4,97,1,40,3,1,2
1,1,3,,,,14,15,15,11,2,7,,,,,,,,,,,,,,,,,,,,5,,,,4658.8,4658.8,6,310.586666666667,4,5,5,13,,,,,,,,,,,,11,11,4,12,1,30,3,1,2
1,1,3,,,,150,151,,13,1,15,,,,,,,,,,,,,,,,,,,,,,7,,3500,3500,6,,,5,5,13,,,,,,,,,,,,9,12,4,10,1,30,3,1,1
1,1,3,,,,150,151,,13,1,3,13,,,,,,,,,,,,,,,,,3,,,6,,,6584.6,6584.6,6,,,4,4,3,4,13,,,,,,,,,,12,12,4,13,1,30,3,1,1
1,1,3,,,,17,18,18,11,2,1,11,,,,,,,,,,,,,,,1,,,,,6,,,4314.24,4314.24,6,239.68,3,5,5,13,,,,,,,,,,,,11,9,3,12,1,20,3,1,2
1,1,3,,,,18,19,19,11,1,2,,,,,,,,,,,,,,,,,2,,,,,,,2500,2500,5,131.578947368421,2,5,5,2,3,11,13,,,,,,,,,8,12,4,9,1,20,3,1,1
1,1,3,,,,18,19,19,11,1,3,,,,,,,,,,,,,,,,,,3,,,,,,177.322256603038,177.322256603038,1,9.33275034752829,1,5,5,2,13,,,,,,,,,,,1,12,4,1,1,20,3,1,1
1,1,3,,,,180,181,,13,,15,,,,,,,,,,,,,,,,,,,,,,7,,1500,1500,3,,,5,4,13,1,2,,,,,,,,,,8,8,3,9,2,30,3,1,
1,1,3,,,,180,181,,13,,16,,,,,,,,,,,,,,,,,,,,,,7,,4728.60307110326,4728.60307110326,6,,,4,4,2,3,13,,,,,,,,,,2,9,3,2,2,30,3,1,
1,1,3,,,,180,181,,13,,4,,,,,,,,,,,,,,,,,,,4,,,,,3484.23384186556,3484.23384186556,6,,,5,5,2,13,10,3,,,,,,,,,7,9,3,6,2,20,3,1,
1,1,3,,,,180,181,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,8000,8000,6,,,4,5,1,2,3,4,5,6,,,,,,,8,12,4,9,2,20,3,1,1
1,1,3,,,,180,181,,13,1,1,4,,,,,,,,,,,,,,,1,,,4,,,,,23944,,98,,,5,5,2,3,13,9,,,,,,,,,11,12,4,12,1,30,3,1,1
1,1,3,,,,180,181,,13,1,2,,,,,,,,,,,,,,,,,2,,,,,,,7700,7700,6,,,4,4,2,6,13,,,,,,,,,,8,12,4,9,1,50,3,1,1
1,1,3,,,,180,181,,13,1,3,,,,,,,,,,,,,,,,,,3,,,,,,1495,1495,3,,,5,4,13,1,,,,,,,,,,,2,11,4,2,1,30,3,1,1
1,1,3,,,,180,181,,13,1,3,,,,,,,,,,,,,,,,,,3,,,,,,7500,7500,6,,,4,4,2,13,,,,,,,,,,,111,12,4,97,2,30,3,1,1
1,1,3,,,,20,21,21,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,0,0,1,0,1,4,2,13,,,,,,,,,,,,8,12,4,9,1,60,3,1,1
1,1,3,,,,20,21,21,11,2,11,,,,,,,,,,,,,,,,,,,,,6,,,3103.13949055316,3103.13949055316,6,147.768547169198,2,5,4,13,2,1,,,,,,,,,,2,12,4,2,1,30,3,1,2
1,1,3,,,,20,21,21,11,2,13,10,,,,,,,,,,,,,,,,,,,,6,,,3413.2,3413.2,6,162.533333333333,2,4,4,1,2,13,,,,,,,,,,2,10,4,2,1,30,3,1,2
1,1,3,,,,21,22,22,11,,7,,,,,,,,,,,,,,,,,,,,5,,,,4001.63266612778,4001.63266612778,6,181.892393914899,2,4,,,,,,,,,,,,,,20,6,2,97,1,50,3,1,
1,1,3,,,,21,22,22,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2500,2500,5,113.636363636364,2,4,4,13,,,,,,,,,,,,8,11,4,9,1,20,3,1,1
1,1,3,,,,21,22,22,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,4076.45,4076.45,6,185.293181818182,2,4,4,13,,,,,,,,,,,,11,11,4,12,1,30,3,1,1
1,1,3,,,,21,22,22,11,1,2,17,,,,,,,,,,,,,,,,2,,,,,,8,3800,3800,6,172.727272727273,2,5,5,1,2,3,5,6,13,,,,,,,8,12,4,9,1,40,3,1,1
1,1,3,,,,21,22,22,11,2,2,,,,,,,,,,,,,,,,,2,,,,,,,5986,5986,6,272.090909090909,3,5,5,13,,,,,,,,,,,,11,12,4,12,1,30,3,1,2
1,1,3,,,,210,211,,13,,11,,,,,,,,,,,,,,,,,,,,,6,,,3201.30613290222,3201.30613290222,6,,,5,,,,,,,,,,,,,,86,6,2,17,1,20,3,1,
1,1,3,,,,210,211,,13,,3,,,,,,,,,,,,,,,,,,3,,,,,,4001.63266612778,4001.63266612778,6,,,5,,,,,,,,,,,,,,35,6,2,20,1,40,3,1,
1,1,3,,,,210,211,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,8500,8500,6,,,4,5,1,13,,,,,,,,,,,8,12,4,9,1,30,3,1,1
1,1,3,,,,210,211,,13,1,1,2,13,,,,,,,,,,,,,,1,2,,,,6,,,5000,5000,6,,,5,5,2,3,4,13,,,,,,,,,8,12,4,9,2,20,3,1,1
1,1,3,,,,23,24,24,11,2,2,1,,,,,,,,,,,,,,,1,2,,,,,,,7183.2,7183.2,6,299.3,3,4,4,13,3,4,6,,,,,,,,,11,12,4,12,1,50,3,1,2
1,1,3,,,,239,240,,13,1,1,17,4,3,10,,,,,,,,,,,,1,,3,4,,6,,8,47004,,98,,,5,3,1,3,4,13,,,,,,,,,11,10,4,12,1,30,3,1,1
1,1,3,,,,24,25,25,11,1,1,10,,,,,,,,,,,,,,,1,,,,,6,,,3000,3000,5,120,2,5,5,13,,,,,,,,,,,,8,11,4,9,1,30,3,1,1
1,1,3,,,,24,25,25,11,1,11,,,,,,,,,,,,,,,,,,,,,6,,,10000,10000,6,400,4,5,4,2,13,,,,,,,,,,,8,12,4,9,1,50,3,1,1
1,1,3,,,,24,25,25,11,2,2,,,,,,,,,,,,,,,,,2,,,,,,,8000,8000,6,320,4,4,4,13,,,,,,,,,,,,8,11,4,9,1,50,3,1,2
1,1,3,,,,240,241,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,5000,5000,6,,,4,2,13,2,,,,,,,,,,,14,11,4,97,1,30,3,1,
1,1,3,,,,240,241,,13,,10,,,,,,,,,,,,,,,,,,,,,6,,,3463.62329633029,3463.62329633029,6,,,5,4,1,13,,,,,,,,,,,2,11,4,2,1,40,3,1,
1,1,3,,,,25,26,26,11,,15,,,,,,,,,,,,,,,,,,,,,,7,,2976.32,2976.32,5,114.473846153846,2,5,,,,,,,,,,,,,,1,7,3,1,1,30,3,1,
1,1,3,,,,250,251,,13,,1,2,3,4,5,17,,,,,,,,,,,1,2,3,4,5,,,8,6402.61226580445,6402.61226580445,6,,,5,,,,,,,,,,,,,,8,6,2,9,2,20,3,1,
1,1,3,,,,270,271,,13,,10,,,,,,,,,,,,,,,,,,,,,6,,,4452,4452,6,,,5,5,1,2,13,,,,,,,,,,2,10,4,2,1,30,3,1,
1,1,3,,,,273,274,,13,,13,10,1,,,,,,,,,,,,,,1,,,,,6,,,4977.4769169508,4977.4769169508,6,,,5,5,2,3,4,5,10,13,,,,,,,9,9,3,10,1,20,3,1,
1,1,3,,,,274,275,,13,,2,,,,,,,,,,,,,,,,,2,,,,,,,6000,6000,6,,,4,2,2,13,,,,,,,,,,,8,9,3,9,2,20,3,1,
1,1,3,,,,28,29,29,11,,1,,,,,,,,,,,,,,,,1,,,,,,,,3101.25,3101.25,6,106.939655172414,2,4,,,,,,,,,,,,,,10,7,3,11,2,60,3,1,
1,1,3,,,,28,29,29,11,1,2,,,,,,,,,,,,,,,,,2,,,,,,,20400,,98,,,4,5,13,14,,,,,,,,,,,13,9,3,14,1,20,3,1,1
1,1,3,,,,29,30,30,11,2,7,,,,,,,,,,,,,,,,,,,,5,,,,761.5,761.5,2,25.3833333333333,1,4,4,13,1,,,,,,,,,,,2,12,4,2,1,20,3,1,2
1,1,3,,,,3,4,4,4,2,2,,,,,,,,,,,,,,,,,2,,,,,,,829.579486158466,829.579486158466,2,207.394871539617,3,5,5,13,,,,,,,,,,,,66,9,3,18,1,40,3,1,2
1,1,3,,,,30,31,31,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2500,2500,5,80.6451612903226,1,5,4,2,13,,,,,,,,,,,8,8,3,9,2,30,3,1,1
1,1,3,,,,30,31,31,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,5000,5000,6,161.290322580645,2,5,5,2,3,4,7,13,,,,,,,,13,12,4,14,2,20,3,1,1
1,1,3,,,,30,31,31,11,1,1,17,,,,,,,,,,,,,,,1,,,,,,,8,35000,,98,,,4,3,13,,,,,,,,,,,,8,10,4,9,1,50,3,1,1
1,1,3,,,,30,31,31,11,1,1,2,15,,,,,,,,,,,,,,1,2,,,,,7,,7000,7000,6,225.806451612903,3,4,4,1,2,13,,,,,,,,,,8,11,4,9,1,40,3,1,1
